Gear type,Action / Rename to (X = remove),Remark,IMR name,NVS label,NVS URI
500 ml bottle,,,,,
Active water sampler,,In situ filtration of sea water,,,
ADCP,,,,,
Algal Incubator,,,,,
ARGO,,Float,,,
ASSIST,,Arctic Shipborne Sea Ice Standardization Tool,,,
AUV,,,,,
Beam trawl,,,Bunntrål,Unknown beam trawl,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0651/
Bongonet 180 um,,,,Bongo net,http://vocab.nerc.ac.uk/collection/L22/current/NETT0176/
Bongonet 64 um,,,,Bongo net,http://vocab.nerc.ac.uk/collection/L22/current/NETT0176/
Bottle 1L,,,,,
Box core,,,Box core,Unspecified box corer,http://vocab.nerc.ac.uk/collection/L22/current/TOOL1177/
Bucket,,,,Bucket,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0536/
Calypso,,Piston corer,,,
Camera,,,,,
Campelen trawl with fish lift,,,,,
Campelen trawl,, without fish lift,,,
Cast away CTD,,,,,
CMET Ballons,,,,,
CTD w/bottles,,,CTD med vannhenter,,
CTD,,,CTD,"Conductivity, temperature and depth package",http://vocab.nerc.ac.uk/collection/L22/current/TOOL0001/ 
Drone,,,,,
EK80,,Fish echo sounder,,Simrad EK80 echo sounder,http://vocab.nerc.ac.uk/collection/L22/current/TOOL1205/
EM-bird,,,,,
EM302,,Echo Sounder,,Kongsberg EM 302 multibeam echosounder,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0744/
EM710,,Echo Sounder,,Kongsberg EM 710 multibeam echosounder,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0746/
Filtration Pump,,,,,
Glider,,,,,
GNSS setup,,,,,
GO-FLO,,This is the product name,,,
Gravity corer,,,,Unspecified gravity corer,http://vocab.nerc.ac.uk/collection/L22/current/TOOL1260/
Harstad trawl,,,Pelagisk trål,,
Helicopter flight,,,,,
Ice auger,,,,,
Ice corer 9 cm,,,,,
Ice corer,,,,,
L-ADCP,,,,,
Macroplankton trawl,,,,,
MicroPap,,,,,
MIK-net 1500 um,,,Mik,Dual Methot Isaacs-Kidd Trawl net,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0985/
Mooring,,,,,
Multicorer,,,Multicorer,,
Multinet mammoth,,,,,
Multinet 180 um,,,,Hyrdo-Bios MultiNet Mammoth,http://vocab.nerc.ac.uk/collection/L22/current/NETT0187/
Multinet 64 um,,,,Hyrdo-Bios MultiNet Mammoth,http://vocab.nerc.ac.uk/collection/L22/current/NETT0187/
Niskin,,,,Niskin bottle,http://vocab.nerc.ac.uk/collection/L22/current/TOOL0412/
Optical profiler,,,,,
pC02 underway,,,,,
Phytoplankton net 10 um,,,,,
Phytoplankton net 20 um,,,,,
RP sled,,Epibenthos sled,,,
ROV,,,ROV,,
SBP300,,Seismic echo sounder,,,
Sea water intake,,,,,
Secchi disk,,,,,
Sediment trap (long term),,1 year+,,,
Sediment trap (short term),,,,,
Slurp gun,,,,,
Snow pit,,,,,
Snow probe,,includes Magna Probe and stake measurements,,,
Spear,,,,,
Suction pump (20 um),,,,,
Suction pump (200 um),,,,,
Suction pump (500 um),,,,,
Surface drifter,,,,,
Swim net (200 um),,,,,
Syringe,,,,,
Thermosalinograph,,,,,
Topas40,,Seismic echo sounder,,,
TS probe,,Echo Sounder,TS probe,,
Tube,,For sucking up water (from for instance a melt pond,,,
UIW,,Under Ice water,,,
USV,,Unmanned surface vehicle,,,
Vertical microstructure profiler,,,,,
Wave recorder,,,,,
Weather station,,,,,
WP2 180 um,,New,,,
WP2 64 um,,New,,,
WP2 56 um,,,,,
WP2 90 um,,New,,,
WP3 1000 um,,,,,
